"State","Total.SAT.Mean.Score","Grade.13.Offered","Ungraded.Classes.Offered","Operational.Schools","Total.Revenues","State.Revenues","Federal.Revenues","Total.Current.Expenditures..TE5.","Total.Revenues.per.Pupil","State.Revenues.per.Pupil","Federal.Revenues.per.Pupil","Total.Current.Expenditures.per.Pupil","X4th.Grade.Mean.Math.Score","X4th.Grade.Mean.Reading.Score","X8th.Grade.Mean.Math.Score","X8th.Grade.Mean.Reading.Score","Classroom.Teachers..FTE.","Meeting.All.State.Licensing.Certification.Requirements..Percent.","Classroom.Teachers.in.their.First.Year.of.Teaching..Percent.","Classroom.Teachers.in.their.Second.Year.of.Teaching..Percent.","Number.of.Schools","Total.Number.Operational.School.Districts.2022.23","Total.Number.Operational.Schools","Total.Number.Operational.Charter.Schools","American.Indian.Alaska.Native.Students","Asian.or.Asian.Pacific.Islander.Students","Hispanic.Students","Black.or.African.American.Students","White.Students","Nat..Hawaiian.or.Other.Pacific.Isl..Students","Two.or.More.Races.Students","Full.Time.Equivalent..FTE..Teachers","Pupil.Teacher.Ratio","Party.Voted.for.Last.Election.Cycle"
"Maryland",1008,"No","No",1410,17015238207,7419590954,889989559,14482716468,18710,8159,979,15926,"238.56",219.84,280.15,264.39,62201.51,96.8,6.6,7.8,7.8,25,1410,48,2416,59963,195349,291367,292746,1256,46375,62236.47,14.3,"Democrat"
"Massachusetts",1112,"Yes","Yes",1837,19782831164,8066237412,925526544,18945441038,20620,8408,965,19747,"247.32",231.09,294.47,273.11,71393.74,97.6,7.6,6.2,6.2,423,1837,76,2165,67337,222604,86503,501645,800,40636,76977.64,12,"Democrat"
"Michigan",967,"No","Yes",3510,22091387644,13003148329,1954522023,18433999932,14768,8692,1307,12323,"236.15",218.27,280.28,262.58,82941.62,99.5,4.9,4.5,4.5,892,3510,378,8430,50863,127418,259823,912605,1203,73572,85879.91,16.7,"Democrat"
"Minnesota",1201,"No","No",2690,14825589847,9762147223,826164197,12060037882,16598,10929,925,13502,"248.41",222.39,290.79,263.81,57298.11,99.9,6,5.3,5.3,581,2690,300,14951,60856,94935,101896,542298,961,54122,56123.8,15.5,"Democrat"
"Mississippi",1184,"No","Yes",1038,5032201128,2533272078,668513594,4480070882,10799,5436,1435,9614,"240.71",219.34,273.73,256.38,33087.14,98.4,6.9,5.7,5.7,152,1038,8,958,4946,20950,206903,187500,301,18727,33767.64,13.04,"Republican"
"Missouri",1191,"No","No",2473,12347541396,3794955362,1072106378,10376140595,13562,4168,1178,11397,"238.41",218,280.76,263.29,66051.28,99.2,6,5.4,5.4,565,2473,82,3280,18740,71015,135335,611514,3608,48754,69837.57,12.78,"Republican"
"Montana",1193,"No","No",826,2054110041,889390351,258352691,1808763119,13702,5933,1723,12065,"241.11",221.68,283.96,264.83,11393.5,92.3,5.6,5.7,5.7,480,826,NA,15715,988,8829,1055,116708,280,7156,11035.53,13.66,"Republican"
"Nebraska",1252,"No","No",1092,4849887781,1612543488,364636001,4233747795,14696,4886,1105,12829,"243.77",222.36,285.01,263.99,23360.75,99.9,6.7,5.9,5.9,278,1092,NA,4284,9840,69628,21579,208391,520,14992,23910.92,13.77,"Republican"
"Nevada",1166,"No","Yes",748,5712602991,2133303225,454493496,4744497078,11496,4293,915,9548,"235.63",217.62,273.79,258.08,24493.86,99.7,8.7,5.4,5.4,20,748,101,3716,26621,213726,59183,137398,7170,36224,23076.46,20.98,"Democrat"
"New Hampshire",1035,"Yes","No",502,3382783772,1055087086,161745104,3085985805,19540,6094,934,17825,"244.56",224.26,287.22,267.95,15122.07,98.9,3.7,3.3,3.3,212,502,40,367,5140,11726,3529,140101,137,7909,14731.4,11.47,"Democrat"
